,Latitude,Longitude,Name
0,1.440585001,103.800988,ADMIRALTY MRT STATION
1,1.316432612,103.882906,ALJUNIED MRT STATION
2,1.369933175,103.8495581,ANG MO KIO MRT STATION
3,1.342501178,103.8801779,BARTLEY MRT STATION
4,1.281873788,103.8590798,BAYFRONT MRT STATION
5,1.312591629,103.9409688,BAYSHORE MRT STATION
6,1.341223176,103.7757943,BEAUTY WORLD MRT STATION
7,1.323979969,103.9299845,BEDOK MRT STATION
8,1.334742117,103.9179783,BEDOK NORTH MRT STATION
9,1.33660783,103.9322346,BEDOK RESERVOIR MRT STATION
10,1.31688894,103.9490653,BEDOK SOUTH MRT STATION
11,1.298918434,103.8503538,BENCOOLEN MRT STATION
12,1.313672233,103.862978,BENDEMEER MRT STATION
13,1.35130868,103.8491544,BISHAN MRT STATION
14,1.319335709,103.8615695,BOON KENG MRT STATION
15,1.338604055,103.7060646,BOON LAY MRT STATION
16,1.322488071,103.816014,BOTANIC GARDENS MRT STATION
17,1.340105207,103.8467559,BRADDELL MRT STATION
18,1.296861687,103.8506674,BRAS BASAH MRT STATION
19,1.363671376,103.8336316,BRIGHT HILL MRT STATION
20,1.382877858,103.8931216,BUANGKOK MRT STATION
21,1.30026469,103.8556148,BUGIS MRT STATION
22,1.349034109,103.7495668,BUKIT BATOK MRT STATION
23,1.333728883,103.8306896,BUKIT BROWN MRT STATION
24,1.358611591,103.7517909,BUKIT GOMBAK MRT STATION
25,1.379002117,103.7615351,BUKIT PANJANG MRT STATION
26,1.306634504,103.7907094,BUONA VISTA MRT STATION
27,1.337674508,103.8395298,CALDECOTT MRT STATION
28,1.443243716,103.8295781,CANBERRA MRT STATION
29,1.369815449,103.7644392,CASHEW MRT STATION
30,1.357478975,103.9878836,CHANGI AIRPORT MRT STATION
31,1.284359578,103.8434268,CHINATOWN MRT STATION
32,1.342352821,103.7325967,CHINESE GARDEN MRT STATION
33,1.385363165,103.7443708,CHOA CHU KANG MRT STATION
34,1.292936243,103.8525859,CITY HALL MRT STATION
35,1.288386024,103.8465552,CLARKE QUAY MRT STATION
36,1.315201264,103.7651824,CLEMENTI MRT STATION
37,1.302508537,103.7982261,COMMONWEALTH MRT STATION
38,1.308547984,103.8890647,DAKOTA MRT STATION
39,1.298701307,103.8461152,DHOBY GHAUT MRT STATION
40,1.311405293,103.7786378,DOVER MRT STATION
41,1.27944619,103.8528404,DOWNTOWN MRT STATION
42,1.293657725,103.8550812,ESPLANADE MRT STATION
43,1.319838347,103.9036269,EUNOS MRT STATION
44,1.335382137,103.9623757,EXPO MRT STATION
45,1.311905574,103.8534777,FARRER PARK MRT STATION
46,1.317439151,103.8073792,FARRER ROAD MRT STATION
47,1.292478928,103.8443283,FORT CANNING MRT STATION
48,1.279145673,103.8680247,GARDENS BY THE BAY MRT STATION
49,1.321505838,103.8719006,GEYLANG BAHRU MRT STATION
50,1.293814735,103.8337251,GREAT WORLD MRT STATION
51,1.319505215,103.660553,GUL CIRCLE MRT STATION
52,1.265389384,103.8215302,HARBOURFRONT MRT STATION
53,1.282571358,103.7817527,HAW PAR VILLA MRT STATION
54,1.362344868,103.7674183,HILLVIEW MRT STATION
55,1.312240296,103.7963991,HOLLAND VILLAGE MRT STATION
56,1.371292293,103.8923805,HOUGANG MRT STATION
57,1.305171388,103.8552957,JALAN BESAR MRT STATION
58,1.327717173,103.6783751,JOO KOON MRT STATION
59,1.33315262,103.7422865,JURONG EAST MRT STATION
60,1.334967302,103.9084597,KAKI BUKIT MRT STATION
61,1.31148891,103.8713865,KALLANG MRT STATION
62,1.297947905,103.8860802,KATONG PARK MRT STATION
63,1.321038249,103.9129494,KEMBANGAN MRT STATION
64,1.293536986,103.7845724,KENT RIDGE MRT STATION
65,1.41738337,103.8329799,KHATIB MRT STATION
66,1.335662762,103.7833991,KING ALBERT PARK MRT STATION
67,1.36017917,103.8850649,KOVAN MRT STATION
68,1.42508698,103.7621375,KRANJI MRT STATION
69,1.272254178,103.8026316,LABRADOR PARK MRT STATION
70,1.34425925,103.7209493,LAKESIDE MRT STATION
71,1.307391879,103.8627846,LAVENDER MRT STATION
72,1.385506579,103.8357438,LENTOR MRT STATION
73,1.306800025,103.849647,LITTLE INDIA MRT STATION
74,1.351612171,103.8641519,LORONG CHUAN MRT STATION
75,1.326150243,103.8892986,MACPHERSON MRT STATION
76,1.276311144,103.854605,MARINA BAY MRT STATION
77,1.27460411,103.8634618,MARINA SOUTH MRT STATION
78,1.271027036,103.8624475,MARINA SOUTH PIER MRT STATION
79,1.302630145,103.9049619,MARINE PARADE MRT STATION
80,1.306762679,103.9152325,MARINE TERRACE MRT STATION
81,1.432521148,103.7740746,MARSILING MRT STATION
82,1.348707263,103.8394231,MARYMOUNT MRT STATION
83,1.326876715,103.8832475,MATTAR MRT STATION
84,1.280531586,103.8438476,MAXWELL MRT STATION
85,1.371463188,103.8365678,MAYFLOWER MRT STATION
86,1.328517954,103.8346883,MOUNT PLEASANT MRT STATION
87,1.306201905,103.8825281,MOUNTBATTEN MRT STATION
88,1.306783078,103.818967,NAPIER MRT STATION
89,1.3123201,103.8379853,NEWTON MRT STATION
90,1.299766835,103.863637,NICOLL HIGHWAY MRT STATION
91,1.320440791,103.8438256,NOVENA MRT STATION
92,1.299759879,103.7874575,ONE-NORTH MRT STATION
93,1.302422248,103.8238685,ORCHARD BOULEVARD MRT STATION
94,1.303981013,103.8322415,ORCHARD MRT STATION
95,1.279739707,103.8395135,OUTRAM PARK MRT STATION
96,1.276213523,103.7913503,PASIR PANJANG MRT STATION
97,1.373043212,103.9492846,PASIR RIS MRT STATION
98,1.317247386,103.8922608,PAYA LEBAR MRT STATION
99,1.337586882,103.6973215,PIONEER MRT STATION
100,1.331379525,103.8690557,POTONG PASIR MRT STATION
101,1.292891754,103.8608918,PROMENADE MRT STATION
102,1.404546728,103.9020726,PUNGGOL MRT STATION
103,1.294550852,103.8060772,QUEENSTOWN MRT STATION
104,1.284125611,103.8514617,RAFFLES PLACE MRT STATION
105,1.289634533,103.816741,REDHILL MRT STATION
106,1.303852185,103.8527694,ROCHOR MRT STATION
107,1.449050821,103.8200461,SEMBAWANG MRT STATION
108,1.391694626,103.8954847,SENGKANG MRT STATION
109,1.350633615,103.8727717,SERANGOON MRT STATION
110,1.27773022,103.8504057,SHENTON WAY MRT STATION
111,1.309994844,103.930297,SIGLAP MRT STATION
112,1.343202895,103.9533717,SIMEI MRT STATION
113,1.330857645,103.7969068,SIXTH AVENUE MRT STATION
114,1.300252877,103.8391583,SOMERSET MRT STATION
115,1.397577907,103.8177995,SPRINGLEAF MRT STATION
116,1.302812469,103.8753377,STADIUM MRT STATION
117,1.320065558,103.8260244,STEVENS MRT STATION
118,1.320398759,103.957242,SUNGEI BEDOK MRT STATION
119,1.335102085,103.888433,TAI SENG MRT STATION
120,1.356191483,103.9546345,TAMPINES EAST MRT STATION
121,1.353301533,103.9451447,TAMPINES MRT STATION
122,1.345515305,103.938437,TAMPINES WEST MRT STATION
123,1.325556235,103.8077603,TAN KAH KEE MRT STATION
124,1.327187135,103.9463465,TANAH MERAH MRT STATION
125,1.299254413,103.8973771,TANJONG KATONG MRT STATION
126,1.276604487,103.8459522,TANJONG PAGAR MRT STATION
127,1.297218218,103.8734884,TANJONG RHU MRT STATION
128,1.282068948,103.8486488,TELOK AYER MRT STATION
129,1.270706478,103.8097616,TELOK BLANGAH MRT STATION
130,1.286194579,103.8269989,TIONG BAHRU MRT STATION
131,1.332628987,103.8475018,TOA PAYOH MRT STATION
132,1.321026553,103.6490755,TUAS CRESCENT MRT STATION
133,1.340866096,103.6369856,TUAS LINK MRT STATION
134,1.329989089,103.6396141,TUAS WEST ROAD MRT STATION
135,1.329974629,103.8992267,UBI MRT STATION
136,1.341737484,103.9614718,UPPER CHANGI MRT STATION
137,1.354416434,103.8328985,UPPER THOMSON MRT STATION
138,1.436968247,103.7864625,WOODLANDS MRT STATION
139,1.44746541,103.7865007,WOODLANDS NORTH MRT STATION
140,1.427433416,103.7932446,WOODLANDS SOUTH MRT STATION
141,1.339190046,103.8708183,WOODLEIGH MRT STATION
142,1.328899141,103.9652185,XILIN MRT STATION
143,1.397535018,103.7474051,YEW TEE MRT STATION
144,1.381756046,103.8449473,YIO CHU KANG MRT STATION
145,1.429443081,103.835005,YISHUN MRT STATION
146,1.387992934,103.905414,BAKAU LRT STATION
147,1.38002223,103.7726474,BANGKIT LRT STATION
148,1.251290102,103.8178023,BEACH LRT STATION
149,1.377926129,103.763103,BUKIT PANJANG LRT STATION
150,1.396277631,103.8937972,CHENG LIM LRT STATION
151,1.384755411,103.7445377,CHOA CHU KANG LRT STATION
152,1.394493046,103.9004925,COMPASSVALE LRT STATION
153,1.393909226,103.9125809,CORAL EDGE LRT STATION
154,1.399281985,103.9059619,COVE LRT STATION
155,1.405234836,103.9086035,DAMAI LRT STATION
156,1.384520797,103.7708086,FAJAR LRT STATION
157,1.397170196,103.8893048,FARMWAY LRT STATION
158,1.391885888,103.8763086,FERNVALE LRT STATION
159,1.253936634,103.8195,IMBIAH LRT STATION
160,1.386703025,103.7645033,JELAPANG LRT STATION
161,1.399509113,103.916575,KADALOOR LRT STATION
162,1.383959115,103.9022254,KANGKAR LRT STATION
163,1.378602766,103.7490555,KEAT HONG LRT STATION
164,1.398212828,103.8812562,KUPANG LRT STATION
165,1.392079839,103.8800296,LAYAR LRT STATION
166,1.396912053,103.9089502,MERIDIAN LRT STATION
167,1.411870458,103.9003138,NIBONG LRT STATION
168,1.402286677,103.9127274,OASIS LRT STATION
169,1.376135744,103.7712612,PENDING LRT STATION
170,1.377750334,103.766669,PETIR LRT STATION
171,1.378618844,103.7580341,PHOENIX LRT STATION
172,1.405194701,103.9024119,PUNGGOL LRT STATION
173,1.416848521,103.9066508,PUNGGOL POINT LRT STATION
174,1.384233561,103.8971947,RANGGUNG LRT STATION
175,1.386723922,103.8905394,RENJONG LRT STATION
176,1.394524496,103.9161661,RIVIERA LRT STATION
177,1.391468497,103.9059736,RUMBIA LRT STATION
178,1.409612685,103.9048316,SAM KEE LRT STATION
179,1.415901719,103.9021563,SAMUDERA LRT STATION
180,1.387772131,103.7695984,SEGAR LRT STATION
181,1.391609364,103.8954426,SENGKANG LRT STATION
182,1.382692296,103.7623672,SENJA LRT STATION
183,1.265050843,103.8216246,SENTOSA LRT STATION
184,1.405088585,103.8972097,SOO TECK LRT STATION
185,1.380298287,103.7452918,SOUTH VIEW LRT STATION
186,1.408452426,103.8985585,SUMANG LRT STATION
187,1.412770894,103.9065776,TECK LEE LRT STATION
188,1.376684679,103.7537122,TECK WHYE LRT STATION
189,1.380321008,103.7601398,TEN MILE JUNCTION LRT STATION
190,1.397318156,103.8756352,THANGGAM LRT STATION
191,1.389347954,103.8858442,TONGKANG LRT STATION
192,1.255532133,103.8209497,WATERFRONT LRT STATION
